City_ID,City,Country,Max Temp,Min Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,79.03,79.03,clear sky,-23.1203,-134.9692,Pension Maro'i
1,Bathsheba,BB,78.8,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
2,Georgetown,MY,78.8,77.0,few clouds,5.4112,100.3354,Cititel Penang
3,Hobart,AU,64.4,61.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
5,Vaini,TO,86.0,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
7,Saint-Philippe,RE,77.0,66.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Kaitangata,NZ,64.0,64.0,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
10,Sibolga,ID,77.61,77.61,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
12,Alice Springs,AU,77.0,77.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
14,Tanout,NE,66.04,66.04,broken clouds,14.9709,8.8879,
15,Luganville,VU,86.83,86.83,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
16,Bambous Virieux,MU,79.0,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
17,Betare Oya,CM,66.6,66.6,broken clouds,5.6,14.0833,Auberge Tembina Betaré Oya
19,Kavieng,PG,85.12,85.12,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
21,Bluff,NZ,62.01,62.01,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
25,Keti Bandar,PK,64.22,64.22,clear sky,24.1447,67.4497,Haji laloo memon house
27,Zabid,YE,72.66,72.66,scattered clouds,14.1951,43.3152,دار الضيافة
29,Busselton,AU,73.99,73.99,few clouds,-33.65,115.3333,Observatory Guest House
30,Tezu,IN,60.42,60.42,clear sky,27.9167,96.1667,Circuit House
31,Marawi,PH,75.99,75.99,light rain,7.9986,124.2928,Derogongan Residence
34,Ponta Delgada,PT,61.0,60.8,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
35,Kapaa,US,82.99,82.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
37,Cape Town,ZA,69.8,64.99,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
38,Atar,MR,63.79,63.79,overcast clouds,20.5169,-13.0499,Oumou Elghoura
39,Bredasdorp,ZA,66.2,66.2,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
40,Mahebourg,MU,78.8,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Ancud,CL,63.0,62.6,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
42,Bamenda,CM,63.03,63.03,scattered clouds,5.9527,10.1582,Ayaba
44,Kununurra,AU,87.8,87.8,scattered clouds,-15.7667,128.7333,Hotel Kununurra
46,Alofi,NU,87.8,87.8,broken clouds,-19.0595,-169.9187,Taloa Heights
47,Hithadhoo,MV,80.65,80.65,broken clouds,-0.6,73.0833,Scoop Guest House
48,Santa Isabel Do Rio Negro,BR,76.42,76.42,few clouds,-0.4139,-65.0192,Hotel GSA
50,Mataura,NZ,62.01,62.01,light rain,-46.1927,168.8643,Ellie's Villa
53,Atuona,PF,78.58,78.58,scattered clouds,-9.8,-139.0333,Villa Enata
55,Avarua,CK,86.0,86.0,broken clouds,-21.2078,-159.775,Paradise Inn
56,Kontagora,NG,71.6,71.6,few clouds,10.3999,5.4695,City Gate Inn
60,Pacific Grove,US,80.6,68.0,clear sky,36.6177,-121.9166,Lovers Point Inn
61,Castro,BR,65.59,65.59,light rain,-24.7911,-50.0119,CHACARA BAILLY
64,Faanui,PF,82.0,82.0,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Mar Del Plata,AR,63.0,62.01,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
67,San Cristobal,VE,82.4,82.4,scattered clouds,7.7669,-72.225,Pirineos
68,Mattru,SL,73.11,73.11,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
69,Sao Jose Da Coroa Grande,BR,77.25,77.25,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
72,Salinopolis,BR,79.48,79.48,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
73,Araguari,BR,68.45,68.45,light rain,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
74,Hilo,US,82.4,70.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
75,East London,ZA,69.91,69.91,overcast clouds,-33.0153,27.9116,Tu Casa
76,Carnarvon,AU,82.4,82.4,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
78,Sabang,ID,81.61,81.61,scattered clouds,5.8933,95.3214,Hotel Citra
79,Goulburn,AU,73.99,71.01,clear sky,-34.75,149.7167,Alpine Heritage Motel
82,Hermanus,ZA,68.0,68.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
84,Butaritari,KI,80.67,80.67,broken clouds,3.0707,172.7902,Isles Sunset Lodge
86,Bengkulu,ID,76.08,76.08,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
88,Presidente Medici,BR,74.35,74.35,light rain,-11.1753,-61.9014,Oliveira Palace Hotel
91,Namibe,AO,72.68,72.68,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
95,Port Elizabeth,ZA,66.2,66.2,broken clouds,-33.918,25.5701,39 On Nile Guest House
97,Mulanje,MW,73.89,73.89,light rain,-16.0316,35.5,Mulanje Motel
101,Flinders,AU,80.01,77.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
106,Sur,OM,66.9,66.9,clear sky,22.5667,59.5289,Sur Plaza Hotel
108,Los Llanos De Aridane,ES,64.4,64.4,broken clouds,28.6585,-17.9182,Valle Aridane
110,Tubmanburg,LR,73.4,73.4,clear sky,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
111,Isangel,VU,86.0,86.0,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
