City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Rikitea,PF,-23.1203,-134.9692,79.03,79.03,74,0,12.84,clear sky,2021-01-17 23:58:32
1,Bathsheba,BB,13.2167,-59.5167,78.8,78.8,73,20,18.41,few clouds,2021-01-17 23:58:32
2,Georgetown,MY,5.4112,100.3354,78.8,77.0,69,20,5.75,few clouds,2021-01-17 23:58:32
3,Hobart,AU,-42.8794,147.3294,64.4,61.0,52,75,23.02,broken clouds,2021-01-17 23:56:12
4,Provideniya,RU,64.3833,-173.3,1.4,1.4,71,90,8.95,light snow,2021-01-17 23:58:32
5,Vaini,TO,-21.2,-175.2,86.0,86.0,74,75,13.8,broken clouds,2021-01-17 23:58:32
6,Suratgarh,IN,29.3167,73.9,51.24,51.24,57,0,9.69,clear sky,2021-01-17 23:58:32
7,Saint-Philippe,RE,-21.3585,55.7679,77.0,66.0,73,0,8.05,clear sky,2021-01-17 23:58:32
8,Kaitangata,NZ,-46.2817,169.8464,64.0,64.0,37,65,8.99,broken clouds,2021-01-17 23:58:32
9,Punta Arenas,CL,-53.15,-70.9167,59.0,59.0,58,0,43.73,clear sky,2021-01-17 23:58:32
10,Sibolga,ID,1.7427,98.7792,77.61,77.61,75,98,2.57,moderate rain,2021-01-17 23:58:33
11,Albany,US,42.6001,-73.9662,37.0,34.0,78,98,1.01,overcast clouds,2021-01-17 23:54:25
12,Alice Springs,AU,-23.7,133.8833,77.0,77.0,18,0,14.97,clear sky,2021-01-17 23:58:33
13,Tasiilaq,GL,65.6145,-37.6368,17.6,17.6,73,0,6.91,clear sky,2021-01-17 23:58:33
14,Tanout,NE,14.9709,8.8879,66.04,66.04,25,72,16.84,broken clouds,2021-01-17 23:58:33
15,Luganville,VU,-15.5333,167.1667,86.83,86.83,69,34,9.64,scattered clouds,2021-01-17 23:58:33
16,Bambous Virieux,MU,-20.3428,57.7575,79.0,78.8,83,40,11.5,scattered clouds,2021-01-17 23:58:33
17,Betare Oya,CM,5.6,14.0833,66.6,66.6,32,62,4.18,broken clouds,2021-01-17 23:58:33
18,Gillette,US,44.2911,-105.5022,39.2,33.01,48,90,11.5,overcast clouds,2021-01-17 23:58:34
19,Kavieng,PG,-2.5744,150.7967,85.12,85.12,72,44,18.77,scattered clouds,2021-01-17 23:58:34
20,Ushuaia,AR,-54.8,-68.3,51.8,51.8,82,75,4.61,broken clouds,2021-01-17 23:58:34
21,Bluff,NZ,-46.6,168.3333,62.01,62.01,52,80,8.99,broken clouds,2021-01-17 23:58:34
22,Hokitika,NZ,-42.7167,170.9667,57.74,57.74,73,69,13.53,light rain,2021-01-17 23:58:34
23,New Norfolk,AU,-42.7826,147.0587,63.0,55.0,69,96,5.99,overcast clouds,2021-01-17 23:58:34
24,Hammerfest,NO,70.6634,23.6821,35.6,35.6,87,75,9.22,broken clouds,2021-01-17 23:58:34
25,Keti Bandar,PK,24.1447,67.4497,64.22,64.22,81,0,9.13,clear sky,2021-01-17 23:58:34
26,Jamestown,US,42.097,-79.2353,33.01,30.2,93,90,6.91,light snow,2021-01-17 23:58:34
27,Zabid,YE,14.1951,43.3152,72.66,72.66,85,44,4.05,scattered clouds,2021-01-17 23:58:35
28,Rutland,US,43.6167,-73.0162,35.01,25.0,79,67,1.99,broken clouds,2021-01-17 23:58:35
29,Busselton,AU,-33.65,115.3333,73.99,73.99,49,15,5.01,few clouds,2021-01-17 23:58:35
30,Tezu,IN,27.9167,96.1667,60.42,60.42,45,2,3.65,clear sky,2021-01-17 23:58:35
31,Marawi,PH,7.9986,124.2928,75.99,75.99,89,98,5.01,light rain,2021-01-17 23:58:35
32,Bethel,US,41.3712,-73.414,39.2,39.0,56,90,5.75,overcast clouds,2021-01-17 23:58:35
33,Ishinomaki,JP,38.4167,141.3,28.4,28.4,74,40,5.75,scattered clouds,2021-01-17 23:58:35
34,Ponta Delgada,PT,37.7333,-25.6667,61.0,60.8,88,40,20.71,scattered clouds,2021-01-17 23:58:35
35,Kapaa,US,22.0752,-159.319,82.99,82.4,65,1,14.97,light rain,2021-01-17 23:58:35
36,Longyearbyen,SJ,78.2186,15.6401,19.4,19.4,68,75,31.07,broken clouds,2021-01-17 23:58:35
37,Cape Town,ZA,-33.9258,18.4232,69.8,64.99,64,0,13.8,clear sky,2021-01-17 23:56:49
38,Atar,MR,20.5169,-13.0499,63.79,63.79,24,91,15.66,overcast clouds,2021-01-17 23:58:36
39,Bredasdorp,ZA,-34.5322,20.0403,66.2,66.2,82,76,6.91,broken clouds,2021-01-17 23:58:36
40,Mahebourg,MU,-20.4081,57.7,78.8,78.8,83,40,11.5,scattered clouds,2021-01-17 23:58:36
41,Ancud,CL,-41.8697,-73.8203,63.0,62.6,67,0,6.91,clear sky,2021-01-17 23:58:36
42,Bamenda,CM,5.9527,10.1582,63.03,63.03,34,45,1.07,scattered clouds,2021-01-17 23:58:36
43,Gharo,PK,24.7424,67.5856,55.4,55.4,88,0,6.91,smoke,2021-01-17 23:58:36
44,Kununurra,AU,-15.7667,128.7333,87.8,87.8,48,49,8.05,scattered clouds,2021-01-17 23:58:36
45,Saskylakh,RU,71.9167,114.0833,-28.44,-28.44,84,61,6.62,broken clouds,2021-01-17 23:58:36
46,Alofi,NU,-19.0595,-169.9187,87.8,87.8,58,75,9.22,broken clouds,2021-01-17 23:58:36
47,Hithadhoo,MV,-0.6,73.0833,80.65,80.65,70,77,7.0,broken clouds,2021-01-17 23:58:37
48,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.42,76.42,86,12,0.6,few clouds,2021-01-17 23:58:37
49,Howell,US,42.6073,-83.9294,32.0,32.0,100,90,3.0,snow,2021-01-17 23:55:57
50,Mataura,NZ,-46.1927,168.8643,62.01,62.01,52,52,8.99,light rain,2021-01-17 23:58:37
51,Riyadh,SA,24.6877,46.7219,60.8,57.2,29,0,4.45,clear sky,2021-01-17 23:54:12
52,Wuda,CN,39.4994,106.7117,18.54,18.54,71,0,1.54,clear sky,2021-01-17 23:58:37
53,Atuona,PF,-9.8,-139.0333,78.58,78.58,78,40,14.07,scattered clouds,2021-01-17 23:58:37
54,Kamenka,RU,51.3223,42.7678,-0.99,-0.99,87,100,7.16,overcast clouds,2021-01-17 23:58:37
55,Avarua,CK,-21.2078,-159.775,86.0,86.0,66,69,9.22,broken clouds,2021-01-17 23:58:37
56,Kontagora,NG,10.3999,5.4695,71.6,71.6,19,19,5.99,few clouds,2021-01-17 23:58:37
57,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,-4.0,84,90,10.36,overcast clouds,2021-01-17 23:58:38
58,Beyneu,KZ,45.3167,55.2,32.61,32.61,95,27,14.0,scattered clouds,2021-01-17 23:58:38
59,Fairbanks,US,64.8378,-147.7164,3.2,3.2,85,1,2.37,clear sky,2021-01-17 23:57:41
60,Pacific Grove,US,36.6177,-121.9166,80.6,68.0,49,1,5.75,clear sky,2021-01-17 23:58:38
61,Castro,BR,-24.7911,-50.0119,65.59,65.59,97,100,7.65,light rain,2021-01-17 23:58:22
62,Kutum,SD,14.2,24.6667,54.21,54.21,35,0,8.01,clear sky,2021-01-17 23:58:38
63,Lata,PT,40.1629,-8.3327,48.99,37.4,100,20,4.61,mist,2021-01-17 23:58:38
64,Faanui,PF,-16.4833,-151.75,82.0,82.0,74,0,13.38,clear sky,2021-01-17 23:58:38
65,Fortuna,US,40.5982,-124.1573,57.99,55.4,82,1,10.36,clear sky,2021-01-17 23:58:38
66,Mar Del Plata,AR,-38.0023,-57.5575,63.0,62.01,72,75,11.5,broken clouds,2021-01-17 23:55:24
67,San Cristobal,VE,7.7669,-72.225,82.4,82.4,65,40,6.91,scattered clouds,2021-01-17 23:58:38
68,Mattru,SL,7.6244,-11.8332,73.11,73.11,95,0,1.66,clear sky,2021-01-17 23:58:39
69,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.25,77.25,83,1,10.31,clear sky,2021-01-17 23:58:39
70,Lavrentiya,RU,65.5833,-171.0,-11.31,-11.31,82,100,9.13,overcast clouds,2021-01-17 23:58:39
71,Sitka,US,57.0531,-135.33,42.8,42.8,75,75,10.36,moderate rain,2021-01-17 23:58:39
72,Salinopolis,BR,-0.6136,-47.3561,79.48,79.48,83,97,10.04,light rain,2021-01-17 23:58:39
73,Araguari,BR,-18.6472,-48.1872,68.45,68.45,89,100,2.46,light rain,2021-01-17 23:58:39
74,Hilo,US,19.7297,-155.09,82.4,70.0,57,90,5.75,light rain,2021-01-17 23:54:47
75,East London,ZA,-33.0153,27.9116,69.91,69.91,71,94,3.78,overcast clouds,2021-01-17 23:58:39
76,Carnarvon,AU,-24.8667,113.6333,82.4,82.4,74,98,3.44,overcast clouds,2021-01-17 23:58:39
77,Austin,US,30.2672,-97.7431,62.01,57.99,31,14,7.0,few clouds,2021-01-17 23:57:50
78,Sabang,ID,5.8933,95.3214,81.61,81.61,76,47,25.61,scattered clouds,2021-01-17 23:58:40
79,Goulburn,AU,-34.75,149.7167,73.99,71.01,41,1,6.44,clear sky,2021-01-17 23:54:28
80,Poplar Bluff,US,36.757,-90.3929,44.6,44.01,42,90,5.75,overcast clouds,2021-01-17 23:58:40
81,Qaanaaq,GL,77.484,-69.3632,-2.83,-2.83,74,0,5.61,clear sky,2021-01-17 23:58:40
82,Hermanus,ZA,-34.4187,19.2345,68.0,68.0,77,7,8.01,clear sky,2021-01-17 23:58:40
83,Srednekolymsk,RU,67.45,153.6833,-41.49,-41.49,81,38,2.44,scattered clouds,2021-01-17 23:58:40
84,Butaritari,KI,3.0707,172.7902,80.67,80.67,76,62,19.22,broken clouds,2021-01-17 23:58:40
85,Mehran,IR,33.1222,46.1646,39.2,39.2,87,40,2.3,scattered clouds,2021-01-17 23:58:40
86,Bengkulu,ID,-3.8004,102.2655,76.08,76.08,82,100,5.32,light rain,2021-01-17 23:58:40
87,Zhanakorgan,KZ,43.9098,67.2495,35.38,35.38,78,100,4.59,overcast clouds,2021-01-17 23:58:41
88,Presidente Medici,BR,-11.1753,-61.9014,74.35,74.35,93,97,2.64,light rain,2021-01-17 23:58:41
89,Kodiak,US,57.79,-152.4072,39.2,39.2,70,90,17.27,overcast clouds,2021-01-17 23:54:43
90,Kolodeznyy,RU,51.3333,39.1833,1.4,1.4,78,0,2.24,clear sky,2021-01-17 23:58:41
91,Namibe,AO,-15.1961,12.1522,72.68,72.68,76,93,9.42,overcast clouds,2021-01-17 23:58:41
92,Pokrovsk,UA,48.282,37.1758,11.08,11.08,96,100,9.91,snow,2021-01-17 23:58:41
